[INFO] [1775717388.869098458] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775717388.870748950] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775717418.872015707] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775717478.888436439] [fleet_scheduler]: Cost for robot_2 -> pickup_samples_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.890084651] [fleet_scheduler]: Cost for robot_2 -> assist_patient_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717478.891931773] [fleet_scheduler]: Cost for robot_2 -> deliver_food_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717478.893803279] [fleet_scheduler]: Cost for robot_2 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.895815689] [fleet_scheduler]: Cost for robot_2 -> transport_equipment_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717478.897877534] [fleet_scheduler]: Cost for robot_2 -> restock_supplies_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717478.899905240] [fleet_scheduler]: Cost for robot_2 -> move_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717478.901943728] [fleet_scheduler]: Cost for robot_2 -> deliver_lab_results_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717478.903943014] [fleet_scheduler]: Cost for robot_2 -> support_mri_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.905918455] [fleet_scheduler]: Cost for robot_3 -> deliver_meds_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717478.907974451] [fleet_scheduler]: Cost for robot_3 -> pickup_samples_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717478.909963867] [fleet_scheduler]: Cost for robot_3 -> assist_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717478.911935793] [fleet_scheduler]: Cost for robot_3 -> deliver_food_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.913898235] [fleet_scheduler]: Cost for robot_3 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.916002994] [fleet_scheduler]: Cost for robot_3 -> transport_equipment_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717478.917983016] [fleet_scheduler]: Cost for robot_3 -> restock_supplies_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717478.920008612] [fleet_scheduler]: Cost for robot_3 -> move_patient_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717478.922000508] [fleet_scheduler]: Cost for robot_3 -> deliver_lab_results_1: distance=9.0, congestion=7.0, predicted=51.00
[INFO] [1775717478.923955348] [fleet_scheduler]: Cost for robot_3 -> support_mri_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717478.925940204] [fleet_scheduler]: Cost for robot_4 -> deliver_meds_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717478.928043864] [fleet_scheduler]: Cost for robot_4 -> pickup_samples_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.930075831] [fleet_scheduler]: Cost for robot_4 -> assist_patient_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717478.932106406] [fleet_scheduler]: Cost for robot_4 -> deliver_food_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717478.934166459] [fleet_scheduler]: Cost for robot_4 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.936162991] [fleet_scheduler]: Cost for robot_4 -> transport_equipment_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717478.938165480] [fleet_scheduler]: Cost for robot_4 -> restock_supplies_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717478.940161015] [fleet_scheduler]: Cost for robot_4 -> move_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717478.942210466] [fleet_scheduler]: Cost for robot_4 -> deliver_lab_results_1: distance=5.0, congestion=3.0, predicted=27.01
